,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7312847829157617,0.8139008289633984,0.3783783783783784,0.5
1,1,0.8213414596465208,0.7660116619877465,0.5135135135135135,0.45945945945945943
2,2,0.8104150555290712,0.8427910200045906,0.45945945945945943,0.5675675675675675
3,3,0.843109517629818, 0.8123818131256952,0.472972972972973,0.5
4,4,0.7510186803679574,0.6963162332044422,0.4864864864864865,0.3918918918918919
5,5,0.7984321644861134,0.7823854326676907,0.527027027027027,0.472972972972973
6,6,0.7259690882285431,0.714498561011353,0.3918918918918919,0.4054054054054054
7,7,0.7919977444073663,0.8217559192753854,0.45945945945945943,0.5
8,8,0.725165682327807, 0.8147695631830782,0.41891891891891897,0.527027027027027
9,9,0.8059622243409785,0.8507020366544837,0.45945945945945943,0.5405405405405406
